_id,additional,firstName,lastName,role,fullName,gnd,occupation
6504166ba47588ad6024a4e4,1922-2002,Erich,Aberle,Polizeipräsident,"Aberle, Erich",1075739152,Schauspieler
6504166ba47588ad6024a4e5,,August,Abweser,Bedienter,August Abweser,,Schauspieler
6504166ba47588ad6024a4f0,,Ferdinand,Adam,Kammerdiener des Präsidenten,"Adam, Ferdinand",1326934384,Schauspieler
6504166ba47588ad6024a4f3,"1752-1807, geborene Jaquet d.Ä.",Maria Anna,Adamberger,Eleonore,"Adamberger, Maria Anna",132464616,Schauspieler
6504166ba47588ad6024a4f2,"1790-1867, Hofschauspielerin",Antonie,Adamberger,Germania,"Adamberger, Antonie",118646915,Schauspieler
6504166ba47588ad6024a4f4,,Louis,Adami,Samuel,Louis Adami,,Schauspieler
6504166ba47588ad6024a4f8,eigtl. Adolf Foglar,,Adolphi,Buyk,Adolphi,,Schauspieler
6504166ba47588ad6024a4e8,geb. Matras (1828-1878),Fanny,Aigner,Ernestine,"Matras, Fanny",1328734765,Schauspieler
6504166ba47588ad6024b281,,Zoe,Akins,,Zoe Akins,,Schauspieler
6504166ba47588ad6024a4ec,1874-1980,Rosa,Albach-Retty,Eva,"Albach-Retty, Rosa",118501356,Schauspieler
6504166ba47588ad6024a4ed,1906-1967,Wolfgang,Albach-Retty,Der Milchstrassenmann,"Albach-Retty, Wolf",130067989,Schauspieler
6504166ba47588ad6024a4ee,,Herr,Albert,1. Freiwilliger,Herr Albert,,Schauspieler
6504166ba47588ad6024a4fd,"1856-1893, Hofschauspielerin",Hermine,Albrecht,Helouin,"Albrecht, Hermine",116279745,Schauspieler
66c10795797f4aaa6ae1a13a,,Edmonda,Aldini,Clitennestra,Edmonda Aldini,,Schauspieler
6504166ba47588ad6024b286,,Vittorio,Alfieri,,"Alfieri, Vittorio",11864808X,Schauspieler
6504166ba47588ad6024a506,,Lisi,Allan,Krankes Mädchen,Lisi Allan,,Schauspieler
6504166ba47588ad6024a50e,,Harry,Alsen,Bellmaus,"Alsen, Harry",1099862434,Schauspieler
6504166ba47588ad6024a517,,Fritz,Alten,Osrik,"Alten, Fritz",132693662X,Schauspieler
6504166ba47588ad6024a51b,1844-1910,Josef,Altmann,Don Eusebio,"Altmann, Josef",116295015,Schauspieler
651691d696c724dc0090c1e3,,Alexandra,Altmann,Karkhan,"Altmann, Alexandra",132128640,Schauspieler
6504166ba47588ad6024b28e,,Axel von,Ambesser,Bearbeitung,"Ambesser, Axel von",118833448,Schauspieler
6504166ba47588ad6024a50b,,Ernst,Anders,Telemach,"Anders, Ernst",1054557241,Schauspieler
671615e8f135e6832011d77b,,Hans Christian,Andersen,,"Andersen, Hans Christian",118502794,Schauspieler
6504166ba47588ad6024a510,1888-1968,Ludwig,Andersen,Ein Zeitungsverkäufer,"Andersen, Ludwig",1326937596,Schauspieler
6504166ba47588ad6024a511,,Paul,André,Buyk,Paul André,,Schauspieler
6504166ba47588ad6024a523,,Rosa,Anschütz,Käthchen,"Anschütz, Rosa",130091227,Schauspieler
6504166ba47588ad6024a521,1785-1865,Heinrich,Anschütz,Rätin,"Anschütz, Heinrich",116014180,Schauspieler
6504166ba47588ad6024b5f6,,Roderich,Anschütz,,"Anschütz, Roderich",116312416,Schauspieler
6504166ba47588ad6024a519,"1819-1895, verehel. Koberwein",Auguste,Anschütz,Rätin,"Anschütz, Auguste",116312319,Schauspieler
6504166ba47588ad6024a51d,1797-1855,Eduard,Anschütz,"Horatio, Hamlets Freund","Anschütz, Eduard",116312327,Schauspieler
6504166ba47588ad6024a51f,"1797-1866, geb. Butenop",Emilie,Anschütz,Rätin,"Anschütz, Emilie",116312335,Schauspieler
6504166ba47588ad6024a524,1881-1945,Helene,Ansion,"Benjamine, dessen Tochter",Helene Ansion,,Schauspieler
6504166ba47588ad6024a530,,Anna,Ardt,Babette,Anna Ardt,,Schauspieler
651691d696c724dc0090c1f8,,Elisabeth,Aref,mit,Elisabeth Aref,,Schauspieler
6504166ba47588ad6024a531,,Peter,Arens,"Don Floriano, ein Edelmann",Peter Arens,,Schauspieler
6504166ba47588ad6024b5fe,,Frangois Huguet,Armand,,Frangois Huguet Armand,,Schauspieler
6504166ba47588ad6024b5ff,,Paul,Armont,,"Armont, Paul",105636033X,Schauspieler
6504166ba47588ad6024a51c,1842-1910,Carl,Arnau,Geist von Hamlets Vater,"Arnau, Karl",116341831,Schauspieler
6504166ba47588ad6024a528,,Wilhelm,Arndt,Marecat,Wilhelm Arndt,,Schauspieler
6504166ba47588ad6024a520,1861-1941,Ernst,Arndt,Marecat,Ernst Arndt,,Schauspieler
6504166ba47588ad6024a529,,Angelica,Arndts,Eine Jumpfer,"Arndts, Angelica",116344350,Schauspieler
6504166ba47588ad6024a52b,,Edeltraude,Arnoscht,"Anneliese, ihr Kind",Edeltraude Arnoscht,,Schauspieler
6504166ba47588ad6024a52d,,Marie,Arnsburg,Heldensinn,"Arnsburg, Marie",116352418,Schauspieler
6504166ba47588ad6024a52c,1816-1891,Friedrich Louis,Arnsburg,Präsident von Stein,"Arnsburg, Ludwig",116352396,Schauspieler
6504166ba47588ad6024a535,geb. Erhart,Anna,Arth,"Babette, Dienstmädchen im Hause des Rats",Anna Arth,,Schauspieler
6504166ba47588ad6024a543,1886-1958,Raoul,Aslan,Mars,"Aslan, Raoul",118504681,Schauspieler
690c5f8a52365fce4c987d8d,,Edward,Atienza,Ein Narr,Edward Atienza,,Schauspieler
690c5f7b52365fce4c987d54,,Rosalind,Atkinson,Eine Amme,Rosalind Atkinson,,Schauspieler
6504166ba47588ad6024a548,,Blanche,Aubry,Le phantome de Marseille,"Aubry, Blanche",134872843,Schauspieler
690c5ee352365fce4c987b13,,Maxine,Audley,"Tamora,Königin der Goten","Audley, Maxine",142263788,Schauspieler
6504166ba47588ad6024a549,1923-2004,Erich,Auer,Die heiligen drei Könige von Totenleben (Lernert-Holenia),"Auer, Erich",11637697X,Schauspieler
6504166ba47588ad6024b60b,,Raoul,Auernheimer,Deutsch,"Auernheimer, Raoul",118505033,Schauspieler
6504166ba47588ad6024b60c,,Emile,Augier,,"Augier, Emile",119493020,Schauspieler
65dca23433d0e71d3f837ea3,,Josepha,Aurnhammer,,"Aurnhammer, Josephine",122364821,Schauspieler
664333972ab4d9095f03514b,,Marianne,Austerlitz,Fritz,"Austerlitz, Marianne",1021277576,Schauspieler
6504166ba47588ad6024b298,,Cornelius von,Ayrenhoff,,"Ayrenhoff, Cornelius von",118869647,Schauspieler
6504166ba47588ad6024a54b,,Herr,Bablam,Jüngerer Chor,Herr Bablam,,Schauspieler
6504166ba47588ad6024a54e,1920-1925,Kaspar,Bach,Ein Diener,"Bach, Kaspar",13181107X,Schauspieler
66be7d32797f4aaa6a8f1ad4,,Bele,Bachem,Bühnenbild,"Bachem, Bele",118651498,Schauspieler
6504166ba47588ad6024a555,,Willi,Bahner,Bühnenbild,"Bahner, Willi",1017915350,Schauspieler
6504166ba47588ad6024b29f,,Hermann,Bahr,,"Bahr, Hermann",118505955,Schauspieler
6912042ddd3949980ba0dc0b,,Paul,Ballantyne,Refugees and Conveeners,Paul Ballantyne,,Schauspieler
6596f7e751cd38b4102f2c3e,,,Ballettgruppe Pfundmayr,Tänze,Ballettgruppe Pfundmayr,,Schauspieler
6504166ba47588ad6024a568,1898-1978,Ewald,Balser,Es lesen,"Balser, Ewald",116046163,Schauspieler
6504166ba47588ad6024a56d,1897-1982,Vera,Balser-Eberle,1. Choretide,"Balser-Eberle, Vera",1017960771,Schauspieler
6504166ba47588ad6024a55c,"1793-1878, Hofsch.",Anna Maria,Bandini,"Ernestine, seine Tochter",Anna Maria Bandini,,Schauspieler
6716137e1154ae2a37b10022,,Peter,Bandl,Licht,Peter Bandl,,Schauspieler
6504166ba47588ad6024b2a6,,Theodore Faullain de,Banville,,"Banville, Théodore de",119080389,Schauspieler
665391322ab4d9095f3345de,,Emilie,Barbolani,Carl,Emilie Barbolani,,Schauspieler
6504166ba47588ad6024a565,auch Barbolani,Josef,Barbolany,Kohl,Josef Barbolany,,Schauspieler
6504166ba47588ad6024a569,,Marie,Barkany,Judith,"Barkany, Marie",116057378,Schauspieler
6504166ba47588ad6024a56a,,Herr,Barko,Diener,Herr Barko,,Schauspieler
6504166ba47588ad6024a56b,,Ludwig,Barnay,Lord Rochester,"Barnay, Ludwig",118652575,Schauspieler
69120b1ddd3949980ba24d92,,Barbara,Barrie,AnnieSullivan,"Barrie, Barbara",1081104325,Schauspieler
6504166ba47588ad6024b2ab,,Theodore,Barrière,,"Barrière, Théodore",101494866,Schauspieler
6504166ba47588ad6024a570,1858-1939,Agathe,Barsescu,"Ophelia, Tochter des Polonius","Bârsescu, Agatha",116062207,Schauspieler
6504166ba47588ad6024a574,,Anna,Bartelmann,Clarisse,"Bartelmann, Anna",130103365,Schauspieler
6504166ba47588ad6024a57f,,Kurt,Barvicius,Prinz Sigismund,Kurt Barvicius,,Schauspieler
6504166ba47588ad6024a581,,Felix,Basch,Rosenkranz,"Basch, Felix",1017960879,Schauspieler
6504166ba47588ad6024b2ae,,Gerdt von,Basewitz,,Gerdt von Basewitz,,Schauspieler
6504166ba47588ad6024a582,1853-1895,Carl,Bassen,Fortinbras,"Busse, Karl",13012480X,Schauspieler
6504166ba47588ad6024a583,,Albert,Bassermann,Wallenstein,"Bassermann, Albert",118653407,Schauspieler
690c5e0252365fce4c98787c,,Clem,Batsford,Assistant Technician,Clem Batsford,,Schauspieler
6504166ba47588ad6024b2b3,,Wolf Graf von,Baudissin,Deutsch,"Baudissin, Wolf von",117768774,Schauspieler
6504166ba47588ad6024a58e,1843-1937,Auguste,Baudius,Katharina von Rosen,"Wilbrandt-Baudius, Auguste",117378186,Schauspieler
6504166ba47588ad6024a58f,,Carl Friedrich,Baudius,Vansen,"Baudius, Karl Friedrich",14352609X,Schauspieler
6504166ba47588ad6024a57a,,Josef,Bauer,Kohl,Josef Bauer,,Schauspieler
661e553f21b0fcd2e65bb4b8,"1834 Russische Hofschauspielerin, 1837-1839 Schauspielerin am sächsischen Hoftheater",Caroline,Bauer,Katharina,Caroline Bauer,,Schauspieler
6504166ba47588ad6024a578,Erni,Ernestine,Bauer,Claudette Fleury,"Bäumlein, Ernestine von",1124087559,Schauspieler
6504166ba47588ad6024a577,1853-1898,Anna,Bauer,Frau Laroque,Anna Bauer,,Schauspieler
6504166ba47588ad6024a594,,Karl,Bauer (auch Baumeister),Freiwillige,Karl Baumeister (Bauer),,Schauspieler
6504166ba47588ad6024b610,,Eduard von,Bauernfeld,,"Bauernfeld, Eduard von",118507400,Schauspieler
6504166ba47588ad6024b612,,Alexander,Baumann,,"Baumann, Alexander",118507451,Schauspieler
6504166ba47588ad6024a596,1928-1932,Maria,Baumeister,Viertes Sternchen,Maria Baumeister,,Schauspieler
6504166ba47588ad6024a598,,Wilhelm,Baumeister,Ringelstern,"Baumeister, Wilhelm",116089814,Schauspieler
6504166ba47588ad6024a58d,1828-1917,Bernhard,Baumeister,Sittig,"Baumeister, Bernhard",118869272,Schauspieler
6504166ba47588ad6024a57b,1895-1932,Karl,Baumeister (Bauer),Piepenbrink,Karl Baumeister (Bauer),,Schauspieler
6504166ba47588ad6024a59a,1844-1925,Karl,Baumgartner,1. Gerichtsdiener,Karl Baumgartner,,Schauspieler
6504166ba47588ad6024a599,1965-1968,Franz,Baumgartner,Herren und Damen aus dem Publikum,Franz Baumgartner,,Schauspieler
6504166ba47588ad6024a5ad,,Hans,Baur,Ein Fremder,"Baur, Hans",120360446,Schauspieler
6504166ba47588ad6024a59d,,Friedrich,Bayer,Louis,Friedrich Bayer,,Schauspieler
6601e05221b0fcd2e6b6439b,1780-1860,Franz Rudolf,Bayer,Jean,"Bayer, Rudolf",119328321,Schauspieler
655672180080658502bfb4f4,1833-1898,Friedrich Wilhelm,Bayer,Diener,"Bayer, Friedrich Wilhelm",130099368,Schauspieler
6504166ba47588ad6024a59f,,Maria,Bayer-Bürk,Viola,"Bayer-Bürck, Marie",116097191,Schauspieler
6504166ba47588ad6024b615,,Rudolf,Bayr,,"Bayr, Rudolf",120992345,Schauspieler
65d5c2dc33d0e71d3f705584,,Fräulein,Becker,Dienerin,Fräulein Becker,,Schauspieler
